title,link,source,publication_date,date_scraped,sentiment_polarity,indicator_count,content_length,entities
Sánchez persiste  pero lo que no puede ser…,https://blogs.elconfidencial.com/espana/matacan/2025-07-06/pedro-sanchez-corrupcion-politica-1hms_4166656/,elconfidencial.com,2025-07-06T05:00:00+02:00,2025-07-07T01:12:30.268080+00:00,-0.71,0,143,PSOE[ORG];Pensemos[LOC];Andalucía[PER];Sevilla[LOC]
El Amo y el Arquitecto,https://www.vozpopuli.com/opinion/el-amo-y-el-arquitecto.html,vozpopuli.com,2025-07-05T04:45:14,2025-07-07T01:12:41.882012+00:00,-0.96,0,133,Amo[LOC];Arquitecto El Amo[ORG];Arquitecto No[ORG];ocurrió[PER];Salió[PER];Jefe[PER];CIS[ORG];Suecia[LOC];Pepe Acosta[PER]
El borracho del tiovivo,https://www.vozpopuli.com/opinion/el-borracho-del-tiovivo.html,vozpopuli.com,2025-07-05T04:45:06,2025-07-07T01:12:45.296185+00:00,-0.81,0,144,Rocinante[LOC]
Réquiem por un PSOE difunto,https://www.vozpopuli.com/opinion/requiem-por-un-psoe-difunto.html,vozpopuli.com,2025-07-05T14:17:29,2025-07-07T01:12:46.626134+00:00,-0.85,0,144,PSOE[ORG];Peugeot[ORG];Moncloa[LOC];Ferraz[LOC]
¿Venezuela o Dinamarca?,https://www.vozpopuli.com/opinion/venezuela-o-dinamarca.html,vozpopuli.com,2025-07-06T04:45:10,2025-07-07T01:12:53.401099+00:00,-0.72,0,118,Venezuela[LOC];Dinamarca[LOC];Dinamarca?[ORG];Estado de Derecho[LOC]
Generosidad con dinero ajeno,https://www.vozpopuli.com/opinion/generosidad-con-dinero-ajeno.html,vozpopuli.com,2025-07-06T04:45:03,2025-07-07T01:12:57.528665+00:00,-0.9,0,127,Generosidad[PER];Pedro Sánchez[PER];Conferencia Internacional[ORG];Financiación para el Desarrollo[LOC];Sevilla[LOC];los Estados Unidos[LOC]
28 de septiembre de 2023: cuando Sánchez decidió gobernar con la corrupción,https://www.vozpopuli.com/espana/28-de-septiembre-de-2023-cuando-sanchez-y-begona-se-aferraron-a-moncloa-a-la-espera-del-caso-koldo.html,vozpopuli.com,2025-07-06T04:45:20,2025-07-07T01:13:11.106627+00:00,-0.64,4,149,Sánchez[PER];Pedro Sánchez[PER];Moncloa[LOC];UCO[ORG];Según[PER];PP[ORG];Anticorrupción[LOC];Ábalos[PER];PSOE[ORG];Valencia[LOC]
"""Hay agua en la piscina"": ERC ve a Sánchez dispuesto al 'cupo catalán' para salvarse",https://www.vozpopuli.com/actualidad/hay-agua-en-la-piscina-erc-ve-a-sanchez-dispuesto-al-cupo-catalan-para-salvarse.html,vozpopuli.com,2025-07-06T04:45:02,2025-07-07T01:13:14.694539+00:00,-0.71,0,153,ERC[ORG];Esquerra Republicana de Catalunya[ORG];PSOE[ORG];PSC[ORG];Gobierno[LOC];Cataluña[LOC];País Vasco[LOC];Navarra-[LOC];Estado[LOC];Generalitat[LOC];Pasó[LOC];Illa[PER];La Moncloa[LOC];Barcelona[LOC]
Page pide a Sánchez que convoque elecciones o se someta a una cuestión de confianza,https://www.vozpopuli.com/espana/politica/page-pide-dimisiones-en-la-direccion-del-psoe-si-no-se-producen-es-que-forman-parte-del-problema.html,vozpopuli.com,2025-07-05T10:54:35,2025-07-07T01:13:22.521368+00:00,-0.36,0,137,Page[PER];Comité Federal[LOC];PSOE[ORG];Ferraz[LOC];Pedro Sánchez[PER];Castilla-La Mancha[LOC];Minutos[LOC];Sánchez[ORG]
Sánchez enrarece al PSOE y lo tensa al límite: del acoso sexual a unos cambios insuficientes,https://www.vozpopuli.com/espana/politica/el-comite-federal-mas-caotico-de-sanchez-del-acoso-a-una-direccion-discutida.html,vozpopuli.com,2025-07-05T13:55:44,2025-07-07T01:13:22.578998+00:00,-0.9,0,142,PSOE[ORG];Sánchez[ORG];Santos Cerdán[PER];Pedro Sánchez[PER];Salazar[PER];Juanfran Serrano[PER];Ferraz[LOC]
"Sánchez no logra aplacar a sus socios tras la renovación fallida del PSOE: ""Ha apostado por el inmovilismo""",https://www.vozpopuli.com/espana/politica/sanchez-no-logra-aplacar-a-sus-socios-tras-la-renovacion-fallida-del-psoe-ha-apostado-por-el-inmovilismo.html,vozpopuli.com,2025-07-06T04:45:21,2025-07-07T01:13:33.304625+00:00,-0.82,2,135,PSOE[ORG];Congreso[ORG];Gobierno[LOC];Sánchez[LOC];Comité Federal[LOC]
La conexión cordobesa del chófer de Sánchez y Aldama: mascarillas  comidas campestres y una investigación de la UCO,https://www.vozpopuli.com/espana/politica/la-conexion-cordobesa-del-chofer-de-sanchez-y-aldama-mascarillas-comidas-campestres-y-una-investigacion-de-la-uco.html,vozpopuli.com,2025-07-06T04:45:21,2025-07-07T01:13:39.347435+00:00,-0.07,0,142,Sánchez[LOC];Aldama[LOC];UCO[ORG];UCO Víctor[ORG];Pedro Sánchez[PER];Corvillo[PER];PSOE[ORG];Ábalos[PER]
